,date,site,latitude,longitude,elevation,depthOfTemperatureObservation,temperatureObserved,reference,reference_short,note,error,durationOpen,durationMeasured,method
10,1954-06-26 00:00:00,2-20,77.21833333333333,-61.025,1834.0,10,-23.9,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
11,1954-06-29 00:00:00,2-30,77.18333333333334,-60.39333333333333,1887.0,10,-24.2,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
12,1954-07-04 00:00:00,2-40,77.17666666666666,-59.73833333333333,1885.0,10,-23.7,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
13,1954-07-09 00:00:00,2-50,77.15,-69.08333333333333,1877.0,10,-23.5,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
14,1954-07-11 00:00:00,2-60,77.135,-58.44166666666667,1905.0,10,-24.0,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
15,1954-07-16 00:00:00,2-70,77.10166666666667,-57.82833333333333,1919.0,10,-23.8,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
16,1954-07-19 00:00:00,2-80,77.065,-57.215,1944.0,10,-24.0,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
17,1954-07-20 00:00:00,2-90,77.02833333333334,-56.888333333333335,1959.0,10,-24.6,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
18,1954-07-07 00:00:00,2-100,77.05,-56.11666666666667,1992.0,10,-24.0,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
19,1955-01-01 00:00:00,2-120,77.18833333333333,-55.75,2140.0,10,-24.7,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
20,1955-05-29 00:00:00,2-125,77.04166666666667,-54.516666666666666,2152.0,10,-26.6,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
21,1955-05-31 00:00:00,2-150,77.06333333333333,-52.916666666666664,2273.0,10,-27.4,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
22,1955-06-02 00:00:00,2-175,77.05666666666667,-51.333333333333336,2392.0,10,-28.4,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
23,1955-06-04 00:00:00,2-200,77.17833333333333,-49.77,2458.0,10,-29.6,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
24,1955-06-06 00:00:00,2-225,77.06666666666666,-48.016666666666666,2536.0,10,-31.1,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
25,1955-06-10 00:00:00,4-0,76.965,-46.983333333333334,2616.0,10,-30.7,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
26,1955-06-12 00:00:00,4-25,76.63666666666667,-45.7,2674.0,10,-31.0,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
27,1955-06-14 00:00:00,4-50,76.31666666666666,-45.1,2720.0,10,-30.7,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
28,1955-06-17 00:00:00,4-75,75.985,-44.583333333333336,2749.0,10,-31.0,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
29,1955-06-19 00:00:00,4-100,75.63666666666667,-43.95,2778.0,10,-30.6,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
30,1955-06-21 00:00:00,4-125,75.29666666666667,-43.416666666666664,2821.0,10,-30.9,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
31,1955-06-23 00:00:00,4-150,74.94166666666666,-42.96666666666667,2851.0,10,-30.6,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
32,1955-06-25 00:00:00,4-175,74.59,-42.55,2873.0,10,-30.2,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
33,1955-06-27 00:00:00,4-200,74.22166666666666,-42.166666666666664,2918.0,10,-30.3,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
34,1955-06-30 00:00:00,4-225,73.87333333333333,-41.8,2940.0,10,-29.8,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
35,1955-07-02 00:00:00,4-250,73.51666666666667,-41.416666666666664,2972.0,10,-30.0,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
36,1955-07-04 00:00:00,4-275,73.16666666666667,-41.1,3003.0,10,-29.4,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
37,1955-07-08 00:00:00,4-300,72.815,-40.75,3046.0,10,-29.7,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
38,1955-07-10 00:00:00,4-325,72.46666666666667,-40.333333333333336,3104.0,10,-29.5,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
39,1955-07-12 00:00:00,4-350,72.11666666666666,-39.93333333333333,3128.0,10,-29.5,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
40,1955-07-14 00:00:00,4-375,71.77,-39.6,3131.0,10,-29.0,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
41,1955-07-16 00:00:00,4-400,71.425,-39.333333333333336,3126.0,10,-29.2,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
42,1955-07-18 00:00:00,5-0,71.08333333333333,-38.96666666666667,3123.0,10,-29.8,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
43,1955-07-20 00:00:00,5-20,71.0,-39.666666666666664,3072.0,10,-27.7,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
44,1955-07-23 00:00:00,5-40,70.90666666666667,-40.63333333333333,3005.0,10,-27.5,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
45,1955-08-02 00:00:00,5-65,70.775,-41.63333333333333,2882.0,10,-25.8,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
46,1955-08-06 00:00:00,5-90,70.63,-42.61666666666667,2763.0,10,-24.35,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
47,1955-08-08 00:00:00,5-115,70.45166666666667,-43.583333333333336,2646.0,10,-24.3,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
48,1955-08-10 00:00:00,5-140,70.3,-44.55,2466.0,10,-21.6,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
49,1955-08-12 00:00:00,5-150,70.25,-44.96666666666667,2407.0,10,-21.8,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
50,1955-08-13 00:00:00,5-160,70.175,-45.36666666666667,2342.0,10,-21.1,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
51,1955-08-14 00:00:00,5-170,70.105,-45.733333333333334,2283.0,10,-21.3,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
52,1955-08-15 00:00:00,5-180,70.04,-46.13333333333333,2206.0,10,-20.8,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
53,1955-08-16 00:00:00,5-190,69.97666666666667,-46.5,2146.0,10,-19.95,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
54,1955-08-17 00:00:00,5-200,69.91666666666667,-46.93333333333333,2012.0,10,-19.6,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
55,1955-08-18 00:00:00,5-210,69.87,-47.3,1963.0,10,-18.6,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
56,1955-08-19 00:00:00,5-220,69.80166666666666,-47.666666666666664,1861.0,10,-17.5,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
57,1955-08-20 00:00:00,5-230,69.73166666666667,-48.05,1746.0,10,-15.1,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
58,1959-01-01 00:00:00,1,77.23333333333333,-62.333333333333336,1718.0,10,-23.9,"Langway,  C. C.,  Jr. (1961) Accumulation and temperature on the inland ice of North Greenland, 1959, Journal of Glaciology,  vol.  3, no.  30, p.  1017-1044.",Langway (1961),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
59,1959-01-01 00:00:00,2,77.71666666666667,-59.56666666666667,2025.0,10,-26.6,"Langway,  C. C.,  Jr. (1961) Accumulation and temperature on the inland ice of North Greenland, 1959, Journal of Glaciology,  vol.  3, no.  30, p.  1017-1044.",Langway (1961),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
60,1959-01-01 00:00:00,3,78.2,-56.31666666666667,2068.0,10,-27.4,"Langway,  C. C.,  Jr. (1961) Accumulation and temperature on the inland ice of North Greenland, 1959, Journal of Glaciology,  vol.  3, no.  30, p.  1017-1044.",Langway (1961),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
61,1959-01-01 00:00:00,4,78.61666666666666,-53.0,2096.0,10,-27.8,"Langway,  C. C.,  Jr. (1961) Accumulation and temperature on the inland ice of North Greenland, 1959, Journal of Glaciology,  vol.  3, no.  30, p.  1017-1044.",Langway (1961),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
62,1959-01-01 00:00:00,5,79.01666666666667,-49.13333333333333,2147.0,10,-28.3,"Langway,  C. C.,  Jr. (1961) Accumulation and temperature on the inland ice of North Greenland, 1959, Journal of Glaciology,  vol.  3, no.  30, p.  1017-1044.",Langway (1961),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
63,1959-01-01 00:00:00,6,79.71666666666667,-51.416666666666664,1843.0,10,-25.8,"Langway,  C. C.,  Jr. (1961) Accumulation and temperature on the inland ice of North Greenland, 1959, Journal of Glaciology,  vol.  3, no.  30, p.  1017-1044.",Langway (1961),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
64,1959-01-01 00:00:00,7,80.38333333333334,-54.05,1524.0,10,-24.0,"Langway,  C. C.,  Jr. (1961) Accumulation and temperature on the inland ice of North Greenland, 1959, Journal of Glaciology,  vol.  3, no.  30, p.  1017-1044.",Langway (1961),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
65,1959-01-01 00:00:00,8,80.75,-55.333333333333336,1420.0,10,-23.8,"Langway,  C. C.,  Jr. (1961) Accumulation and temperature on the inland ice of North Greenland, 1959, Journal of Glaciology,  vol.  3, no.  30, p.  1017-1044.",Langway (1961),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
66,1959-01-01 00:00:00,9,79.46666666666667,-44.31666666666667,2215.0,10,-30.0,"Langway,  C. C.,  Jr. (1961) Accumulation and temperature on the inland ice of North Greenland, 1959, Journal of Glaciology,  vol.  3, no.  30, p.  1017-1044.",Langway (1961),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
