latitude,longitude
64.495,-44.68333333333333
64.47166666666666,-45.61666666666667
64.45166666666667,-46.575
64.43,-47.50833333333333
63.71666666666667,-47.32
63.19666666666666,-46.30166666666667
62.5,-46.0
62.21333333333333,-45.65
62.01666666666666,-45.03333333333333
61.82666666666667,-44.4
62.50833333333333,-45.23333333333333
62.21666666666667,-45.06666666666667
66.26666666666667,-45.7
66.05,-45.15
65.85,-44.61666666666667
65.55,-44.13333333333333
65.21666666666667,-43.0
76.51833333333333,-66.38666666666667
77.0,-56.06666666666667
77.18833333333333,-55.75166666666666
77.3,-49.94
69.7,-48.266667
73.16666667,-41.1
73.87333333,-41.8
75.63666667,-43.95
76.31666667,-45.1
76.965,-46.98333333
77.05833333,-49.6
77.05666667,-51.33333333
77.04166667,-54.51666667
77.09333333,-57.81833333
77.21666667,-61.02166667
77.15,-62.9
76.80333333,-64.89
78.0,-58.0
79.41666667,-55.0
80.0,-50.0
78.5,-50.0
77.1797,-61.1097
69.722,-49.8
69.6981,-48.2625
82.51,-37.47
82.84,-36.67
65.2093,-49.75
65.2069,-49.7456
65.2058,-49.7443
67.19158,-50.02945
67.20421999999999,-49.717929999999996
67.20143,-49.2888
67.16221,-50.06427
67.16704,-50.06633
70.92,-40.63
70.57,-50.09
69.53,-49.68
69.57,-49.3
76.4113,-68.2873
66.181,-39.0435
66.3622,-39.3119
66.3548,-39.1788
70.9167,-40.6333
71.0833,-38.9667
71.47,-33.35
71.1204,-37.3164
72.286,-37.9798
74.6213,-39.6017
70.6508,-37.4788
70.67699999999999,-38.787
70.6398,-39.6178
70.6349,-35.82
70.8651,-35.8381
71.7593,-35.8505
71.492,-35.8812
71.155,-35.8377
72.3,-38.0
70.9167,-43.0167
71.0833,-37.9167
72.5833,-37.6333
71.8667,-37.7667
71.1167,-37.3167
71.2,-35.95
71.35,-32.4667
72.5667,-38.5
77.13417954,-61.04342795
77.35958333333333,-47.14658333333333
77.1333,-61.0333
77.13329999999998,-61.03330000000004
77.13329999999998,-61.03330000000002
75.62470000000003,-35.97479999999999
75.6247,-35.97479999999999
75.62470000000002,-35.97479999999999
67.09549999999997,-35.97479999999999
67.09549999999996,-35.97479999999999
67.0955,-35.97480000000001
67.0955,-35.9748
67.09549999999999,-35.9748
67.067,-48.83550000000001
67.067,-48.83549999999999
67.067,-48.83549999999998
67.067,-48.8355
67.067,-48.83550000000002
67.00030000000001,-47.02530000000001
67.00029999999998,-47.02530000000001
67.0003,-47.02530000000001
67.00029999999997,-47.02530000000001
67.0003,-47.0253
79.9108,-24.082799999999995
79.91080000000007,-24.08280000000001
79.9108,-24.0828
79.91080000000005,-24.08280000000001
79.91080000000002,-24.0828
79.8347,-25.1662
79.83469999999993,-25.1662
79.83469999999996,-25.1662
64.4822,-49.5358
64.48219999999998,-49.53580000000003
64.48219999999998,-49.535800000000016
64.48219999999999,-49.5358
64.48219999999999,-49.535800000000016
64.48220000000002,-49.5358
64.5108,-49.269199999999984
64.5108,-49.26920000000001
64.5108,-49.2692
64.5108,-49.26919999999999
61.0308,-46.84929999999999
61.0308,-46.8493
61.0308,-46.84930000000002
61.0308,-46.84930000000001
61.0998,-46.832999999999984
61.09979999999997,-46.83300000000001
61.09979999999997,-46.833
61.0998,-46.833
61.09979999999998,-46.83299999999999
61.09979999999998,-46.832999999999984
61.17530000000001,-46.819499999999984
61.175300000000036,-46.8195
61.1753,-46.819499999999984
61.17530000000001,-46.8195
61.1753,-46.8195
61.17530000000003,-46.819499999999984
61.17530000000005,-46.81950000000001
61.17530000000002,-46.819499999999984
61.175300000000036,-46.81949999999999
72.223,-26.8182
72.22299999999997,-26.818200000000008
72.22299999999997,-26.818200000000004
72.22299999999998,-26.818199999999994
72.22299999999998,-26.8182
72.39329999999998,-27.23329999999999
72.3933,-27.23329999999999
72.39329999999997,-27.23329999999999
72.39329999999998,-27.2333
72.3933,-27.2333
65.779,-38.8995
65.64020000000004,-38.898699999999984
65.64020000000001,-38.89870000000001
65.64020000000002,-38.89869999999999
65.64020000000002,-38.8987
65.6402,-38.8987
65.64020000000002,-38.89870000000001
65.64020000000004,-38.89869999999999
76.39979999999997,-68.26649999999997
76.39980000000001,-68.26649999999998
76.3998,-68.26649999999998
76.39979999999998,-68.26649999999997
76.3998,-68.2665
76.4197,-68.1463
76.41969999999995,-68.14629999999994
76.41969999999998,-68.14629999999997
76.41970000000002,-68.1463
76.41969999999995,-68.14629999999995
76.41969999999998,-68.14629999999995
72.8932,-54.2955
72.8932,-54.29549999999996
72.8932,-54.29549999999998
72.8932,-54.29549999999997
72.88779999999998,-53.57830000000001
72.88779999999998,-53.57829999999997
72.88779999999998,-53.57829999999996
72.88779999999998,-53.57829999999998
72.88779999999998,-53.57829999999999
72.8878,-53.5783
69.56833,-49.31582
77.13781,-61.04113
78.5266,-56.8305
69.9133333,-46.8547222
75.09975,-42.33256
80.08305,-58.07277
63.148984999999996,-44.81738
69.87241999999999,-47.036626
66.47776999999999,-42.493634
77.4413792,-51.0834106
73.840558,-49.531539
67.18312399999999,-49.566914
67.183071,-49.569698
69.87975,-46.986670000000004
73.84189,-49.49831
72.57972,-38.504540000000006
78.01677,-33.99387
66.48001,-46.278890000000004
65.99947,-44.50016
63.14889,-44.817170000000004
75.0,-29.99972
66.4797,-42.5002
72.57971954345703,-38.504539489746094
67.00025177001953,-47.02299880981445
66.47969818115234,-42.5
69.87975311279297,-46.986671447753906
66.98539733886719,-44.39400100708008
65.99949645996094,-44.50019836425781
75.6268310546875,-35.94150161743164
66.47200012207031,-46.282981872558594
67.000252,-47.022999
69.819983,-47.4505
69.7836,-47.670183
69.75693299999999,-47.880283
69.738017,-48.060967
69.739083,-48.2403
69.71978299999999,-48.2674
69.70616700000001,-48.344967
69.687433,-48.499667
69.66018299999999,-48.68945
69.64372,-48.81594000000001
67.19518000000001,-49.71952
67.20155,-49.28906
67.18127,-49.56982
67.18211,-49.56827
67.18205,-49.56806
67.18211,-49.56848
67.18146999999999,-49.57025
66.48,-46.2789
69.1828,-49.9764
69.111,-49.3445
69.1329,-49.0601
69.1864,-48.5306
69.1561,-48.8416
69.1852,-48.7537
69.15536,-48.75654
69.20577,-48.75255
69.1858,-48.7268
69.1811,-48.6366
69.1789,-47.864
69.1781,-47.7436
69.1775,-47.6407
69.1747,-47.4188
69.1523,-48.9193
69.85,-47.25
70.0,-46.3
70.23333333333333,-45.01666666666666
70.36666666666666,-44.1
70.55,-43.01666666666666
70.76666666666667,-41.55
70.91666666666667,-40.63333333333333
71.08333333333333,-37.91666666666666
72.58333333333333,-37.63333333333333
71.86666666666666,-37.31666666666667
71.11666666666666,-37.31666666666667
71.2,-35.95479999999998
71.2988,-34.589099999999966
71.35,-33.46666666666667
72.21666666666667,-32.31666666666667
72.48333333333333,-30.766666666666666
71.11666667,-37.31666667
71.35,-33.46666667
71.19006,-45.4299
71.183,-39.933
77.49077348,-69.25069161
77.510312405,-69.138126571
77.518193788,-69.06214498
67.18,-36.37
78.05167,-67.62833
77.63600000000001,-59.12
69.68649,-49.08499000000001
69.81666700000001,-47.43333300000001
