,Unnamed: 0,date,site,latitude,longitude,elevation,depthOfTemperatureObservation,temperatureObserved,reference,reference_short,note,year,geometry,MAR_distance,MAR_lat,MAR_lon,MAR_i,MAR_j,MAR_elevation,MAR_10m_temp
23,23,1955-06-04 00:00:00,2-200,77.17833333333333,-49.77,2458.0,10.0,-29.6,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-49.77 77.17833333333333),179.61794262171847,77.14588165283203,-49.92384719848633,131.0,35.0,2517.972412109375,-30.46258544921875
24,24,1955-06-06 00:00:00,2-225,77.06666666666666,-48.01666666666666,2536.0,10.0,-31.1,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-48.01666666666666 77.06666666666666),176.89727791175795,77.03793334960938,-48.04925537109375,130.0,38.0,2604.91015625,-30.910476684570312
25,25,1955-06-10 00:00:00,4-0,76.965,-46.98333333333333,2616.0,10.0,-30.7,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-46.98333333333333 76.965),175.24134066760797,77.04957580566406,-46.830657958984375,130.0,40.0,2649.849609375,-31.66217041015625
26,26,1955-06-12 00:00:00,4-25,76.63666666666667,-45.7,2674.0,10.0,-31.0,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-45.7 76.63666666666667),172.9395477361865,76.64525604248047,-45.59150314331055,127.0,42.0,2731.32421875,-30.822189331054688
27,27,1955-06-14 00:00:00,4-50,76.31666666666666,-45.1,2720.0,10.0,-30.7,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-45.1 76.31666666666666),171.6780293422091,76.3726806640625,-45.0,125.0,43.0,2775.52294921875,-30.582321166992188
28,28,1955-06-17 00:00:00,4-75,75.985,-44.58333333333334,2749.0,10.0,-31.0,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-44.58333333333334 75.985),170.3903146471518,75.96239471435547,-44.43753433227539,122.0,44.0,2817.01806640625,-29.462081909179688
29,29,1955-06-19 00:00:00,4-100,75.63666666666667,-43.95,2778.0,10.0,-30.6,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-43.95 75.63666666666667),169.11948304772434,75.68754577636719,-43.89683151245117,120.0,45.0,2847.906005859375,-31.013031005859375
30,30,1955-06-21 00:00:00,4-125,75.29666666666667,-43.41666666666666,2821.0,10.0,-30.9,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-43.41666666666666 75.29666666666667),167.8534752851796,75.27540588378906,-43.39192199707031,117.0,46.0,2886.571533203125,-30.759979248046875
31,31,1955-06-23 00:00:00,4-150,74.94166666666666,-42.96666666666667,2851.0,10.0,-30.6,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-42.96666666666667 74.94166666666666),166.73768346025628,74.99864196777344,-42.89568328857422,115.0,47.0,2912.802978515625,-30.84881591796875
32,32,1955-06-25 00:00:00,4-175,74.59,-42.55,2873.0,10.0,-30.2,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-42.55 74.59),165.58018673534778,74.58502197265625,-42.44070053100586,112.0,48.0,2943.482421875,-31.54058837890625
