,Unnamed: 0,date,site,latitude,longitude,elevation,depthOfTemperatureObservation,temperatureObserved,reference,reference_short,note,year,geometry,RACMO_distance,RACMO_lat,RACMO_lon,RACMO_i,RACMO_j,RACMO_elevation,RACMO_10m_temp
27,27,1955-06-14 00:00:00,4-50,76.31666666666666,-45.1,2720.0,10.0,-30.7,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-45.1 76.31666666666666),171.73553480082842,76.33605194091797,-45.118003845214844,377.0,165.0,1.0,-28.647009277343727
28,28,1955-06-17 00:00:00,4-75,75.985,-44.583333333333336,2749.0,10.0,-31.0,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-44.58333333333334 75.985),170.47999949386409,76.00076293945312,-44.52602005004883,370.0,167.0,1.0,-28.693701171874977
29,29,1955-06-19 00:00:00,4-100,75.63666666666667,-43.95,2778.0,10.0,-30.6,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-43.95 75.63666666666667),169.09779904152774,75.61441802978516,-43.93931579589844,362.0,169.0,1.0,-28.538244628906227
30,30,1955-06-21 00:00:00,4-125,75.29666666666667,-43.41666666666666,2821.0,10.0,-30.9,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-43.41666666666666 75.29666666666667),167.86106038997588,75.27647399902344,-43.401580810546875,355.0,171.0,1.0,-28.506079101562477
31,31,1955-06-23 00:00:00,4-150,74.94166666666666,-42.96666666666667,2851.0,10.0,-30.6,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-42.96666666666667 74.94166666666666),166.73578542078337,74.98716735839844,-42.904483795166016,349.0,173.0,1.0,-28.433798217773415
32,32,1955-06-25 00:00:00,4-175,74.59,-42.55,2873.0,10.0,-30.2,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-42.55 74.59),165.68587453404103,74.59302520751953,-42.582183837890625,341.0,174.0,1.0,-28.27306213378904
33,33,1955-06-27 00:00:00,4-200,74.22166666666666,-42.16666666666666,2918.0,10.0,-30.3,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-42.16666666666666 74.22166666666666),164.57706106094804,74.25218963623047,-42.106571197509766,334.0,176.0,1.0,-28.239324951171852
34,34,1955-06-30 00:00:00,4-225,73.87333333333333,-41.8,2940.0,10.0,-29.8,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-41.8 73.87333333333333),163.58753414240076,73.85698699951172,-41.817386627197266,326.0,177.0,1.0,-28.09160461425779
35,35,1955-07-02 00:00:00,4-250,73.51666666666667,-41.41666666666666,2972.0,10.0,-30.0,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-41.41666666666666 73.51666666666667),162.51123330272722,73.51458740234375,-41.37766647338867,319.0,179.0,1.0,-27.892645263671852
36,36,1955-07-04 00:00:00,4-275,73.16666666666667,-41.1,3003.0,10.0,-29.4,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-41.1 73.16666666666667),161.61821088077528,73.16838073730469,-41.12761688232422,312.0,180.0,1.0,-27.70049133300779
