,date,site,latitude,longitude,elevation,depthOfTemperatureObservation,temperatureObserved,reference,reference_short,note,year,ERA_distance,ERA_lat,ERA_lon,ERA_i,ERA_j
47,1955-07-23 00:00:00,5-40,70.90666666666667,-40.63333333333333,3005.0,10.0,35.5,Benson (1962),Benson (1962),as reported in Mock and Weeks 1965,1955,157.7298619992924,70.90783855474433,-40.615870697536735,355.0,490.0
48,1955-08-02 00:00:00,5-65,70.775,-41.63333333333333,2882.0,10.0,40.0,Benson (1962),Benson (1962),as reported in Mock and Weeks 1965,1955,158.98154552235698,70.76413432429415,-41.661386818635556,359.0,482.0
49,1955-08-06 00:00:00,5-90,70.63,-42.61666666666667,2763.0,10.0,45.0,Benson (1962),Benson (1962),as reported in Mock and Weeks 1965,1955,160.10658717260478,70.6125759802954,-42.56566186764525,363.0,475.0
50,1955-08-08 00:00:00,5-115,70.45166666666667,-43.583333333333336,2646.0,10.0,47.0,Benson (1962),Benson (1962),as reported in Mock and Weeks 1965,1955,161.2713258263715,70.45749576210993,-43.57960024298221,367.0,467.0
51,1955-08-10 00:00:00,5-140,70.3,-44.55,2466.0,10.0,51.0,Benson (1962),Benson (1962),as reported in Mock and Weeks 1965,1955,162.4390810910357,70.29657852749351,-44.57697100040695,371.0,459.0
52,1955-08-12 00:00:00,5-150,70.25,-44.96666666666667,2407.0,10.0,54.0,Benson (1962),Benson (1962),as reported in Mock and Weeks 1965,1955,162.9307126915169,70.25553862758224,-44.9466169003916,372.0,456.0
53,1955-08-13 00:00:00,5-160,70.175,-45.36666666666667,2342.0,10.0,53.0,Benson (1962),Benson (1962),as reported in Mock and Weeks 1965,1955,163.3613507406646,70.17215326930818,-45.314012480048575,374.0,453.0
54,1955-08-14 00:00:00,5-170,70.105,-45.73333333333333,2283.0,10.0,55.0,Benson (1962),Benson (1962),as reported in Mock and Weeks 1965,1955,163.76917538394045,70.0879956505757,-45.67825681348302,376.0,450.0
55,1955-08-15 00:00:00,5-180,70.04,-46.13333333333333,2206.0,10.0,55.0,Benson (1962),Benson (1962),as reported in Mock and Weeks 1965,1955,164.3176617694404,70.04379840218625,-46.16313262164638,377.0,446.0
56,1955-08-16 00:00:00,5-190,69.97666666666667,-46.5,2146.0,10.0,55.0,Benson (1962),Benson (1962),as reported in Mock and Weeks 1965,1955,164.72464808070492,69.9578532313322,-46.52130801985554,379.0,443.0
57,1955-08-17 00:00:00,5-200,69.91666666666667,-46.93333333333333,2012.0,10.0,60.0,Benson (1962),Benson (1962),as reported in Mock and Weeks 1965,1955,165.21052732875293,69.91265793662762,-46.88030531627828,380.0,440.0
58,1955-08-18 00:00:00,5-210,69.87,-47.3,1963.0,10.0,58.0,Benson (1962),Benson (1962),as reported in Mock and Weeks 1965,1955,165.74093739400627,69.8650349839186,-47.35803805174357,381.0,436.0
59,1955-08-19 00:00:00,5-220,69.80166666666666,-47.66666666666666,1861.0,10.0,56.0,Benson (1962),Benson (1962),as reported in Mock and Weeks 1965,1955,166.13661843417873,69.77660831438364,-47.70770805071194,383.0,433.0
